Name,Symbol,Last,Chg. %,Market Cap,Vol.,,
Appian,APPN,60.02,4.62%,4.19B,367.77K,,
Stampscom,STMP,238.03,0.86%,4.18B,213.72K,,
Jamf,JAMF,34.24,-0.44%,4.16B,165.30K,,
II-VI,IIVI,40.05,1.47%,4.15B,986.02K,,
Littelfuse,LFUS,169.55,0.42%,4.13B,54.25K,,
Inovalon Holdings Inc,INOV,26.07,4.95%,4.05B,497.07K,,
Integra,IART,46.95,3.14%,3.96B,500.65K,,
Berkeley Lights,BLI,66.6,-2.12%,3.91B,97.40K,,
Change Healthcare,CHNG,13.96,1.90%,3.90B,887.54K,,
Qualys,QLYS,99.19,1.69%,3.89B,254.83K,,
Lattice,LSCC,28.07,1.50%,3.79B,565.18K,,
Agora,API,46.48,-2.80%,3.79B,280.90K,,
Cyberark Software,CYBR,99.39,1.28%,3.78B,228.78K,,
Tenable,TENB,37.31,3.75%,3.78B,652.24K,,
Cirrus,CRUS,63.02,2.45%,3.68B,912.26K,,
Varonis Systems,VRNS,113.69,2.05%,3.59B,249.46K,,
Ballard,BLDP,14.26,0.28%,3.48B,2.99M,,
Vertex,VERX,22.76,4.84%,3.41B,286.32K,,
LivePerson,LPSN,51.04,3.66%,3.38B,472.09K,,
Semtech,SMTC,51.23,1.86%,3.34B,436.42K,,
Brooks Automation,BRKS,44.94,1.49%,3.31B,298.73K,,
j2 Global,JCOM,69.41,0.23%,3.30B,274.64K,,
Rackspace,RXT,18.34,2.57%,3.30B,735.80K,,
Vicor,VICR,75.27,0.39%,3.24B,120.51K,,
Power Integrations,POWI,52.76,0.86%,3.15B,285.34K,,
SVMK,SVMK,22.37,4.29%,3.14B,2.30M,,
Rapid7 Inc,RPD,60.82,2.34%,3.10B,322.48K,,
Verint,VRNT,46.96,0.97%,3.07B,211.41K,,
Omnicell,OMCL,71.34,0.89%,3.05B,255.02K,,
Altair Engineering,ALTR,41.43,3.89%,3.03B,176.30K,,
ACI Worldwide,ACIW,25.24,1.24%,2.94B,893.61K,,
Momo Inc,MOMO,13.83,-0.29%,2.90B,2.71M,,
Liberty Expedia,LEXEA,50.42,0%,2.89B,0,,
Mimecast Ltd,MIME,45.27,2.49%,2.87B,273.23K,,
FireEye,FEYE,12.68,1.28%,2.86B,1.59M,,
Acacia Com,ACIA,67.74,-0.25%,2.85B,504.83K,,
Finisar,FNSR,23.77,0%,2.85B,0,,
ManTech,MANT,69.57,1.24%,2.81B,161.86K,,
Blackbaud,BLKB,56.77,0.85%,2.81B,338.00K,,
Liberty Expedia B,LEXEB,47.9,0%,2.75B,0,,
SINA Corp,SINA,40.19,-0.67%,2.75B,694.06K,,
Alarm.com Holdings,ALRM,55.04,2.41%,2.70B,189.93K,,
Liberty Tripadvisor,LTRPB,35.77,-2.19%,2.69B,2.42K,,
Synaptics,SYNA,78.22,-0.15%,2.68B,311.76K,,
SPS Commerce,SPSC,76.13,2.53%,2.67B,209.07K,,
Digital Turbine,APPS,30.38,0.30%,2.66B,2.25M,,
Viavi Solutions,VIAV,11.56,0.48%,2.64B,1.08M,,
Amkor,AMKR,10.91,-0.09%,2.63B,715.96K,,
Diodes,DIOD,50.82,0.14%,2.63B,231.19K,,
Franklin Electric,FELE,56.78,0.26%,2.62B,114.36K,,
Coherent,COHR,107.65,1.30%,2.61B,147.02K,,
21Vianet,VNET,20.52,2.91%,2.60B,799.83K,,
Avnet,AVT,25.48,0.20%,2.52B,426.09K,,
Baozun Inc,BZUN,32.73,-0.21%,2.51B,901.45K,,
2U Inc,TWOU,35.11,5.56%,2.50B,1.24M,,
CarGurus,CARG,21.95,-0.20%,2.48B,2.85M,,
Pluralsight,PS,16.98,3.41%,2.45B,497.15K,,
TTEC,TTEC,52.25,0.48%,2.44B,115.81K,,
EchoStar,SATS,24.93,-0.16%,2.44B,219.90K,,
Advanced Energy,AEIS,59.72,0.34%,2.29B,206.15K,,
Opera,OPRA,9.62,0.52%,2.29B,222.61K,,
Itron,ITRI,56.23,1.44%,2.27B,392.04K,,
Cornerstone OnDemand,CSOD,34.48,1.83%,2.22B,386.32K,,
MACOM Tech,MTSI,32,-1.33%,2.14B,512.43K,,
HMS Holdings,HMSY,23.64,0.77%,2.09B,284.85K,,
Plexus,PLXS,69.35,-0.83%,2.03B,105.88K,,
Upwork,UPWK,16.7,9.65%,2.01B,3.23M,,
Insight Enterprises,NSIT,55.54,-1.33%,1.95B,280.43K,,
Cerence,CRNC,48.05,2.13%,1.94B,760.82K,,
Sabre Corpo,SABR,6.05,6.70%,1.92B,5.27M,,
Tower,TSEM,18.03,0.95%,1.92B,165.78K,,
Carbon Black,CBLK,26,0%,1.91B,0,,
Canadian Solar Inc,CSIQ,32.18,7.63%,1.90B,2.78M,,
Bottomline,EPAY,41.97,-0.07%,1.88B,181.21K,,
CommVault,CVLT,40.06,0.56%,1.86B,213.05K,,
Cardlytics,CDLX,67.92,4.83%,1.85B,366.62K,,
FormFactor,FORM,23.94,-0.54%,1.84B,450.68K,,
SunPower,SPWR,10.66,5.13%,1.81B,3.81M,,
Sanmina,SANM,25.79,-1.75%,1.75B,461.13K,,
InterDigital,IDCC,56.61,0.27%,1.74B,104.13K,,
Materialise NV,MTLS,34.1,4.44%,1.74B,86.18K,,
Ambarella,AMBA,49.61,1.62%,1.72B,247.22K,,
Sciplay,SCPL,15.9,4.26%,1.71B,679.94K,,
MakeMyTrip,MMYT,15.91,-2.39%,1.64B,409.48K,,
Progress,PRGS,35.74,1.48%,1.61B,358.82K,,
Electronics for Imaging,EFII,36.97,0%,1.60B,0,,
Sprout Social,SPT,37.12,2.48%,1.60B,366.11K,,
NetScout,NTCT,21.18,0.76%,1.53B,884.61K,,
Rambus,RMBS,13.29,-0.23%,1.51B,343.44K,,
Virtusa,VRTU,48.5,-0.02%,1.47B,364.98K,,
Sapiens,SPNS,29.31,2.20%,1.47B,100.18K,,
Cray,CRAY,35.01,0%,1.45B,0,,
Forescout Tech,FSCT,28.99,0%,1.44B,0,,
MicroStrategy,MSTR,146.13,0.05%,1.42B,169.27K,,
Perficient,PRFT,42.15,1.93%,1.40B,210.97K,,
OSI Systems,OSIS,77,-0.27%,1.39B,70.07K,,
Presidio,PSDO,16.6,0%,1.39B,0,,
Nova,NVMI,50.52,0.98%,1.39B,64.62K,,
Simulations Plus,SLP,70.98,7.48%,1.39B,454.31K,,
Kulicke&Soffa,KLIC,22.09,-1.07%,1.37B,255.81K,,
Super Micro Computer,SMCI,25.71,1.14%,1.35B,212.67K,,
CSG Systems,CSGS,40.65,1.55%,1.34B,152.78K,,
Sohu.Com,SOHU,17.06,-1.39%,1.34B,195.44K,,
Sykes,SYKE,33.28,2.02%,1.33B,197.63K,,
NIC,EGOV,19.68,0.36%,1.32B,243.90K,,
Gan,GAN,15.69,3.84%,1.32B,652.92K,,
Allscripts,MDRX,8.06,4.13%,1.31B,1.33M,,
Silicon Motion,SIMO,38.31,3.79%,1.30B,459.30K,,
So-Young,SY,11.76,-0.59%,1.27B,135.83K,,
Glu Mobile,GLUU,7.39,-0.14%,1.26B,3.05M,,
Talend,TLND,39.16,-0.05%,1.26B,191.71K,,
Mesa Labs,MLAB,244.7,1.66%,1.25B,26.63K,,
Health Catalyst,HCAT,36.03,2.33%,1.24B,570.74K,,
